2026-09-24 02:30:54 | common | default_trace_id | INFO | Registered connector pool type: default
2026-09-24 02:30:54 | common | default_trace_id | INFO | Registered connector pool type: httpx
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered query expression support for milvus
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered query expression support for chroma
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ExcelParser for .xlsx
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ExcelParser for .csv
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ExcelParser for .tsv
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser TxtMdParser for .txt
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser TxtMdParser for .md
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser TxtMdParser for .markdown
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser HTMLFileParser for .htm
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser HTMLFileParser for .html
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser JSONParser for .json
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser PDFParser for .pdf
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser WordParser for .docx
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .png
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .jpg
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .jpeg
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .webp
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .gif
2026-09-24 02:30:56 | common | default_trace_id | INFO | Registered parser ImageParser for .jfif
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.code.execute_code, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.code.execute_code_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.read_file, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.read_file_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.write_file, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.upload_file, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.upload_file_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.download_file, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.download_file_stream, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.list_files, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.list_directories, changed from [] to [GLOBAL]
2026-09-24 02:31:00 | common | default_trace_id | INFO | Added GLOBAL tag to resource. resource_id=proactive_agent_proactive_agent.fs.search_files, changed from [] to [GLOBAL]
