[2026-06-12 08:06:38] [INFO] [04_wait_drs_job_ready] Waiting for DRS job to become ready (dry_run=False)
[2026-06-12 08:06:38] [INFO] [04_wait_drs_job_ready] Parameters: initial_wait=0s, poll_interval=10s, max_wait=300s
[2026-06-12 08:06:38] [INFO] [04_wait_drs_job_ready] Job ID: ab704a6a-9586-4ffb-8390-f5e910cjb101
[2026-06-12 08:06:38] [INFO] [04_wait_drs_job_ready] Initial wait: 0 seconds...
[2026-06-12 08:06:43] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 0s)
[2026-06-12 08:06:57] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 10s)
[2026-06-12 08:07:11] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 20s)
[2026-06-12 08:07:25] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 30s)
[2026-06-12 08:07:39] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 40s)
[2026-06-12 08:07:53] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 50s)
[2026-06-12 08:08:06] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 60s)
[2026-06-12 08:08:21] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 70s)
[2026-06-12 08:08:35] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 80s)
[2026-06-12 08:08:49] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 90s)
[2026-06-12 08:09:02] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 100s)
[2026-06-12 08:09:16] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 110s)
[2026-06-12 08:09:30] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 120s)
[2026-06-12 08:09:43] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 130s)
[2026-06-12 08:09:59] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 140s)
[2026-06-12 08:10:12] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 150s)
[2026-06-12 08:10:26] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 160s)
[2026-06-12 08:10:40] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 170s)
[2026-06-12 08:10:54] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 180s)
[2026-06-12 08:11:07] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 190s)
[2026-06-12 08:11:21] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 200s)
[2026-06-12 08:11:35] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 210s)
[2026-06-12 08:11:49] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 220s)
[2026-06-12 08:12:03] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 230s)
[2026-06-12 08:12:17] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 240s)
[2026-06-12 08:12:31] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 250s)
[2026-06-12 08:12:44] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 260s)
[2026-06-12 08:12:59] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 270s)
[2026-06-12 08:13:13] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 280s)
[2026-06-12 08:13:26] [INFO] [04_wait_drs_job_ready] Job status: CREATING (elapsed: 290s)
[2026-06-12 08:13:36] [ERROR] [04_wait_drs_job_ready] Timeout: Job not ready after 300s. Last status: CREATING
